TrackURI,Genre,track,Preview,Singers,Artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7xVwhsuZTUWhIyFeDH6rYr,Hip-Hop,Next to You,https://p.scdn.co/mp3-preview/dd937eccda672dd952a286fb20020e63d7b2fbde?cid=b82fb22d072d4120850c99225ff01644,Mike Jones,spotify:artist:07VmOvmuBp9G0gb8BTrpn0,0.65,0.753,-4.745,0.0632,0.324,0,0.307,0.616,82.478
7xVwhsuZTUWhIyFeDH6rYr,Rap,Next to You,https://p.scdn.co/mp3-preview/dd937eccda672dd952a286fb20020e63d7b2fbde?cid=b82fb22d072d4120850c99225ff01644,Mike Jones,spotify:artist:07VmOvmuBp9G0gb8BTrpn0,0.65,0.753,-4.745,0.0632,0.324,0,0.307,0.616,82.478
74jMwg2zsFMICzW3Wems6h,Hip-Hop,"Bump, Bump, Bump (feat. P. Diddy)",https://p.scdn.co/mp3-preview/847da18c768ccf4489817e684724aa0b51385689?cid=b82fb22d072d4120850c99225ff01644,B2K,spotify:artist:51d3rUlLuMh7EW09aMe7yj,0.833,0.681,-6.028,0.215,0.0956,0,0.0414,0.887,95.48
74jMwg2zsFMICzW3Wems6h,Blues,"Bump, Bump, Bump (feat. P. Diddy)",https://p.scdn.co/mp3-preview/847da18c768ccf4489817e684724aa0b51385689?cid=b82fb22d072d4120850c99225ff01644,B2K,spotify:artist:51d3rUlLuMh7EW09aMe7yj,0.833,0.681,-6.028,0.215,0.0956,0,0.0414,0.887,95.48
74jMwg2zsFMICzW3Wems6h,Hip-Hop,"Bump, Bump, Bump (feat. P. Diddy)",https://p.scdn.co/mp3-preview/847da18c768ccf4489817e684724aa0b51385689?cid=b82fb22d072d4120850c99225ff01644,Diddy,spotify:artist:59wfkuBoNyhDMQGCljbUbA,0.833,0.681,-6.028,0.215,0.0956,0,0.0414,0.887,95.48
74jMwg2zsFMICzW3Wems6h,Blues,"Bump, Bump, Bump (feat. P. Diddy)",https://p.scdn.co/mp3-preview/847da18c768ccf4489817e684724aa0b51385689?cid=b82fb22d072d4120850c99225ff01644,Diddy,spotify:artist:59wfkuBoNyhDMQGCljbUbA,0.833,0.681,-6.028,0.215,0.0956,0,0.0414,0.887,95.48
74jMwg2zsFMICzW3Wems6h,Rap,"Bump, Bump, Bump (feat. P. Diddy)",https://p.scdn.co/mp3-preview/847da18c768ccf4489817e684724aa0b51385689?cid=b82fb22d072d4120850c99225ff01644,Diddy,spotify:artist:59wfkuBoNyhDMQGCljbUbA,0.833,0.681,-6.028,0.215,0.0956,0,0.0414,0.887,95.48
4F55RCGuM477OjznpYGhYz,Hip-Hop,Shortie Like Mine (feat. Chris Brown & Johntá Austin),https://p.scdn.co/mp3-preview/184328410a0f76e5eb731b29547e044f891c2a96?cid=b82fb22d072d4120850c99225ff01644,Bow Wow,spotify:artist:7352aRY2mqSxBZwzUb6LmA,0.763,0.629,-8.66,0.225,0.0891,0,0.169,0.709,142.149
4F55RCGuM477OjznpYGhYz,Pop,Shortie Like Mine (feat. Chris Brown & Johntá Austin),https://p.scdn.co/mp3-preview/184328410a0f76e5eb731b29547e044f891c2a96?cid=b82fb22d072d4120850c99225ff01644,Bow Wow,spotify:artist:7352aRY2mqSxBZwzUb6LmA,0.763,0.629,-8.66,0.225,0.0891,0,0.169,0.709,142.149
4F55RCGuM477OjznpYGhYz,Blues,Shortie Like Mine (feat. Chris Brown & Johntá Austin),https://p.scdn.co/mp3-preview/184328410a0f76e5eb731b29547e044f891c2a96?cid=b82fb22d072d4120850c99225ff01644,Bow Wow,spotify:artist:7352aRY2mqSxBZwzUb6LmA,0.763,0.629,-8.66,0.225,0.0891,0,0.169,0.709,142.149
4F55RCGuM477OjznpYGhYz,Rap,Shortie Like Mine (feat. Chris Brown & Johntá Austin),https://p.scdn.co/mp3-preview/184328410a0f76e5eb731b29547e044f891c2a96?cid=b82fb22d072d4120850c99225ff01644,Bow Wow,spotify:artist:7352aRY2mqSxBZwzUb6LmA,0.763,0.629,-8.66,0.225,0.0891,0,0.169,0.709,142.149
4F55RCGuM477OjznpYGhYz,Pop,Shortie Like Mine (feat. Chris Brown & Johntá Austin),https://p.scdn.co/mp3-preview/184328410a0f76e5eb731b29547e044f891c2a96?cid=b82fb22d072d4120850c99225ff01644,Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,0.763,0.629,-8.66,0.225,0.0891,0,0.169,0.709,142.149
4F55RCGuM477OjznpYGhYz,Blues,Shortie Like Mine (feat. Chris Brown & Johntá Austin),https://p.scdn.co/mp3-preview/184328410a0f76e5eb731b29547e044f891c2a96?cid=b82fb22d072d4120850c99225ff01644,Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,0.763,0.629,-8.66,0.225,0.0891,0,0.169,0.709,142.149
4F55RCGuM477OjznpYGhYz,Rap,Shortie Like Mine (feat. Chris Brown & Johntá Austin),https://p.scdn.co/mp3-preview/184328410a0f76e5eb731b29547e044f891c2a96?cid=b82fb22d072d4120850c99225ff01644,Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,0.763,0.629,-8.66,0.225,0.0891,0,0.169,0.709,142.149
7z3N2W7Xz1t2G2sAO8wFVH,Pop,Burn,https://p.scdn.co/mp3-preview/8911f0ccc6b240ddffaf13244afacfbf099fb4ba?cid=b82fb22d072d4120850c99225ff01644,Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj,0.796,0.477,-7.161,0.108,0.314,0,0.12,0.685,119.928
7z3N2W7Xz1t2G2sAO8wFVH,Blues,Burn,https://p.scdn.co/mp3-preview/8911f0ccc6b240ddffaf13244afacfbf099fb4ba?cid=b82fb22d072d4120850c99225ff01644,Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj,0.796,0.477,-7.161,0.108,0.314,0,0.12,0.685,119.928
