,TrackURI,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
58,spotify:track:1FSYDJAlyHAabWhiGgYfDq,"52 Non Stop Dilbar Dilbar Remix(Remix By Kedrock,Sd Style)",0.0593,1.28e-05,0.837,0.0794,0.157,-4.501,0.521,106.001,0.48
59,spotify:track:6uQkoo1UGWThtEpNEYc6Ga,"Sapna Jahan (From ""Brothers"")",0.78,0.0021,0.329,0.0312,0.117,-11.958,0.471,126.107,0.144
60,spotify:track:3ci9YeXRulpmFPDvqneVwc,"Chura Liya Hai Tumne Jo Dil Ko (From ""Yaadon Ki Baaraat"")",0.857,1.88e-06,0.318,0.0317,0.11,-11.106,0.559,80.242,0.684
61,spotify:track:6boYaYafMoyPZAw8VMasNm,"Kitaben Bahut Si (From ""Baazigar"")",0.423,8.56e-05,0.721,0.0696,0.0587,-7.53,0.619,97.32,0.808
62,spotify:track:2oaKoKA8bvgWfBi9M8wEVJ,Abhi Na Jao Chhod Kar,0.79,0.0,0.31,0.0371,0.341,-13.287,0.569,97.244,0.587
63,spotify:track:0wnLMEOQlyW3Es1ag0HMVV,Radha Kaise Na Jale,0.229,0.0,0.505,0.323,0.0975,-9.236,0.729,148.435,0.723
64,spotify:track:4AfLtSXcvG8AkfQjDR0gJ1,Zara Sa Jhoom Loon Main,0.682,6.93e-05,0.553,0.0764,0.191,-12.537,0.606,130.657,0.868
65,spotify:track:1akzSqvnTzAxlyWYqTZcJX,Sharara,0.384,0.00234,0.891,0.449,0.335,-8.655,0.602,94.975,0.548
66,spotify:track:1JHNf1BPNDQEVZehemIDay,"O Haseena Zulfonwale Jane Jahan (From ""Teesri Manzil"")",0.682,5.57e-06,0.649,0.0587,0.3,-5.197,0.378,92.989,0.78
67,spotify:track:2Hf0Puh1w4HvTae2HSw6Hu,Nee Partha,0.783,0.0185,0.215,0.0306,0.103,-12.825,0.402,109.775,0.167
68,spotify:track:2Hs659VSIWrtetYzclXVP6,Le Gayi,0.185,0.000937,0.737,0.0497,0.153,-11.51,0.831,125.552,0.82
70,spotify:track:4ttVAE1UfmqNiMREb3NAci,Nabi Nabi,0.595,0.0,0.342,0.497,0.0777,-14.083,0.635,114.189,0.908
71,spotify:track:6dP9Gms8qpGHEY4BH2sawG,"Nabi Nabi Ya Nabi Nabi, Pt. 2",0.663,3.3e-05,0.469,0.547,0.164,-13.73,0.715,116.529,0.876
72,spotify:track:4DyKMVc0HhZlKWZczeUoFk,Teri Soorat Nigahon Mein,0.668,2.83e-06,0.302,0.308,0.0778,-24.727,0.555,118.4,0.565
73,spotify:track:3OTf2UOhzypXJ8TFzuFDKv,"Nabi Nabi Ya Nabi Nabi, Pt. 1",0.551,9.47e-05,0.488,0.524,0.255,-12.989,0.592,108.248,0.833
74,spotify:track:760aj6eKUUjKcnzt8nhB81,Teri Soorat ( Main Sharabi Sharabi ),0.791,0.0,0.49,0.523,0.802,-12.664,0.622,116.132,0.767
