Singers,Genre,Artist,TrackURI,Preview,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
Rahat Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:4faUCG0CdNgMx0NkMMseOl,https://p.scdn.co/mp3-preview/23090d93cf21af84e7c73225252a433f18d94840?cid=6f8bb3e64c2944d586037b9907043601,Dillagi,0.385,0,0.759,0.047,0.162,-4.029,0.585,139.986,0.512
Sabri Brothers,Qawwali,spotify:artist:1dVygo6tRFXC8CSWURQJq2,spotify:track:251PNRmJU9KcUnFQAB5t6I,https://p.scdn.co/mp3-preview/2802963a0a3961b1b9f284d2bd01fe6c2780ecc2?cid=6f8bb3e64c2944d586037b9907043601,Kal Ho Naa Ho,0.334,0.000144,0.529,0.0352,0.078,-8.402,0.532,81.989,0.295
Sabri Brothers,Qawwali,spotify:artist:1dVygo6tRFXC8CSWURQJq2,spotify:track:3WVHfTd7xz9VPYJQFpOp8j,https://p.scdn.co/mp3-preview/52f487c3baab9b297ae91de27fe67e9bdf1b655c?cid=6f8bb3e64c2944d586037b9907043601,Main Agar Kahoon,0.234,3.17E-06,0.436,0.0276,0.46,-7.521,0.533,146.868,0.371
Sabri Brothers,Qawwali,spotify:artist:1dVygo6tRFXC8CSWURQJq2,spotify:track:73y649QhnXdcm6fRdvfraO,https://p.scdn.co/mp3-preview/a087873940ed19af068089e112f9206515c99415?cid=6f8bb3e64c2944d586037b9907043601,Abhi Mujh Mein Kahin,0.755,3.94E-05,0.387,0.0332,0.113,-9.483,0.334,129.959,0.42
Sabri Brothers,Qawwali,spotify:artist:1dVygo6tRFXC8CSWURQJq2,spotify:track:1uzkWkIaWaxzHJgJ4Fy5rO,https://p.scdn.co/mp3-preview/b51d1b641d6832b04599065c817388a987e0d7bc?cid=6f8bb3e64c2944d586037b9907043601,Bole Chudiyan,0.45,1.18E-05,0.875,0.171,0.164,-5.294,0.59,96.915,0.736
Sabri Brothers,Qawwali,spotify:artist:1dVygo6tRFXC8CSWURQJq2,spotify:track:3nKEiJUeaWn8q2O9I1xwlB,https://p.scdn.co/mp3-preview/1a403c640cb76e48754b1d337fb450185e3771c4?cid=6f8bb3e64c2944d586037b9907043601,Shukran Allah,0.732,0.0014,0.695,0.111,0.274,-8.022,0.432,116.153,0.513
Sabri Brothers,Qawwali,spotify:artist:1dVygo6tRFXC8CSWURQJq2,spotify:track:6oUK2k9OJ0WvmVveyauFB7,https://p.scdn.co/mp3-preview/e85c057a116b68208cf6287b638cd79fd758e844?cid=6f8bb3e64c2944d586037b9907043601,Mere Haath Mein,0.578,0.000183,0.606,0.0722,0.11,-12.312,0.554,93.922,0.584
Sabri Brothers,Qawwali,spotify:artist:1dVygo6tRFXC8CSWURQJq2,spotify:track:1ax8ZuwRVkSdzzsIqyCNWQ,https://p.scdn.co/mp3-preview/28010b321acd10d84475ac4977d88ad68ff58d07?cid=6f8bb3e64c2944d586037b9907043601,Tumse Milke Dil Ka,0.0642,1.87E-06,0.745,0.109,0.0274,-8.636,0.853,107.985,0.882
Sabri Brothers,Qawwali,spotify:artist:1dVygo6tRFXC8CSWURQJq2,spotify:track:7Czm0vv2sYL5z4P51KY66e,https://p.scdn.co/mp3-preview/19b4f0c8c3c7f8c93a8a2824f7108da6e1baf625?cid=6f8bb3e64c2944d586037b9907043601,Maahi Ve,0.0297,2.00E-05,0.833,0.0769,0.33,-6.117,0.815,99.989,0.563
Sabri Brothers,Qawwali,spotify:artist:1dVygo6tRFXC8CSWURQJq2,spotify:track:1FSYDJAlyHAabWhiGgYfDq,https://p.scdn.co/mp3-preview/47f7ae577bc2d6e79928e7ceb0dfeb6224966c84?cid=6f8bb3e64c2944d586037b9907043601,"52 Non Stop Dilbar Dilbar Remix(Remix By Kedrock,Sd Style)",0.0593,1.28E-05,0.837,0.0794,0.157,-4.501,0.521,106.001,0.48
Sabri Brothers,Qawwali,spotify:artist:1dVygo6tRFXC8CSWURQJq2,spotify:track:6uQkoo1UGWThtEpNEYc6Ga,https://p.scdn.co/mp3-preview/419a6a0b574accc22544b1ff65080cf50a8dead4?cid=6f8bb3e64c2944d586037b9907043601,"Sapna Jahan (From ""Brothers"")",0.78,0.0021,0.329,0.0312,0.117,-11.958,0.471,126.107,0.144
Mohammad Rafi,Qawwali,spotify:artist:5as8A4G47Ohu9NSWs3Je8U,spotify:track:3ci9YeXRulpmFPDvqneVwc,https://p.scdn.co/mp3-preview/7f494b64a8dadcf32f528ea713a524f859631a81?cid=6f8bb3e64c2944d586037b9907043601,"Chura Liya Hai Tumne Jo Dil Ko (From ""Yaadon Ki Baaraat"")",0.857,1.88E-06,0.318,0.0317,0.11,-11.106,0.559,80.242,0.684
Mohammad Rafi,Qawwali,spotify:artist:5as8A4G47Ohu9NSWs3Je8U,spotify:track:6boYaYafMoyPZAw8VMasNm,https://p.scdn.co/mp3-preview/ba0b85dab9326e4e6e87577bac5d49ead59232b4?cid=6f8bb3e64c2944d586037b9907043601,"Kitaben Bahut Si (From ""Baazigar"")",0.423,8.56E-05,0.721,0.0696,0.0587,-7.53,0.619,97.32,0.808
Mohammad Rafi,Qawwali,spotify:artist:5as8A4G47Ohu9NSWs3Je8U,spotify:track:2oaKoKA8bvgWfBi9M8wEVJ,https://p.scdn.co/mp3-preview/64a09f71872355af463e72bcce7891e34a671f62?cid=6f8bb3e64c2944d586037b9907043601,Abhi Na Jao Chhod Kar,0.79,0,0.31,0.0371,0.341,-13.287,0.569,97.244,0.587
Mohammad Rafi,Qawwali,spotify:artist:5as8A4G47Ohu9NSWs3Je8U,spotify:track:0wnLMEOQlyW3Es1ag0HMVV,https://p.scdn.co/mp3-preview/bf11a98c39ec4c16b5a8a99ddf97b0d35e3e7682?cid=6f8bb3e64c2944d586037b9907043601,Radha Kaise Na Jale,0.229,0,0.505,0.323,0.0975,-9.236,0.729,148.435,0.723
Mohammad Rafi,Qawwali,spotify:artist:5as8A4G47Ohu9NSWs3Je8U,spotify:track:4AfLtSXcvG8AkfQjDR0gJ1,https://p.scdn.co/mp3-preview/d035d5f899bf1d13988cc66619fbcdcfce35b934?cid=6f8bb3e64c2944d586037b9907043601,Zara Sa Jhoom Loon Main,0.682,6.93E-05,0.553,0.0764,0.191,-12.537,0.606,130.657,0.868
Mohammad Rafi,Qawwali,spotify:artist:5as8A4G47Ohu9NSWs3Je8U,spotify:track:1akzSqvnTzAxlyWYqTZcJX,https://p.scdn.co/mp3-preview/f01e856864c3a6c1750d6d15ced8b7a1f603db32?cid=6f8bb3e64c2944d586037b9907043601,Sharara,0.384,0.00234,0.891,0.449,0.335,-8.655,0.602,94.975,0.548
Mohammad Rafi,Qawwali,spotify:artist:5as8A4G47Ohu9NSWs3Je8U,spotify:track:1JHNf1BPNDQEVZehemIDay,https://p.scdn.co/mp3-preview/dc6f0645b038e2a9d3128c8d103e2f4d94056d8f?cid=6f8bb3e64c2944d586037b9907043601,"O Haseena Zulfonwale Jane Jahan (From ""Teesri Manzil"")",0.682,5.57E-06,0.649,0.0587,0.3,-5.197,0.378,92.989,0.78
Mohammad Rafi,Qawwali,spotify:artist:5as8A4G47Ohu9NSWs3Je8U,spotify:track:2Hf0Puh1w4HvTae2HSw6Hu,https://p.scdn.co/mp3-preview/a52cc772935a522d1bce99444368d02ecbfa3ba1?cid=6f8bb3e64c2944d586037b9907043601,Nee Partha,0.783,0.0185,0.215,0.0306,0.103,-12.825,0.402,109.775,0.167
Mohammad Rafi,Qawwali,spotify:artist:5as8A4G47Ohu9NSWs3Je8U,spotify:track:2Hs659VSIWrtetYzclXVP6,https://p.scdn.co/mp3-preview/e9e403e9c73d80ca081feef29b704e27c1b679c6?cid=6f8bb3e64c2944d586037b9907043601,Le Gayi,0.185,0.000937,0.737,0.0497,0.153,-11.51,0.831,125.552,0.82
Aziz Mian,Qawwali,spotify:artist:0lyuCEP722XiHlj92fsxhU,spotify:track:4ttVAE1UfmqNiMREb3NAci,https://p.scdn.co/mp3-preview/fbfc6b95c2e4f04257e1a937c1bef47e9682671b?cid=6f8bb3e64c2944d586037b9907043601,Nabi Nabi,0.595,0,0.342,0.497,0.0777,-14.083,0.635,114.189,0.908
Aziz Mian,Qawwali,spotify:artist:0lyuCEP722XiHlj92fsxhU,spotify:track:6dP9Gms8qpGHEY4BH2sawG,https://p.scdn.co/mp3-preview/ebaae51aa7cbf1cc451045241a0d3ee6e0721d5d?cid=6f8bb3e64c2944d586037b9907043601,"Nabi Nabi Ya Nabi Nabi, Pt. 2",0.663,3.30E-05,0.469,0.547,0.164,-13.73,0.715,116.529,0.876
Aziz Mian,Qawwali,spotify:artist:0lyuCEP722XiHlj92fsxhU,spotify:track:4DyKMVc0HhZlKWZczeUoFk,https://p.scdn.co/mp3-preview/8653137d2d3ce81d85883a30bee86cbeed9944bf?cid=6f8bb3e64c2944d586037b9907043601,Teri Soorat Nigahon Mein,0.668,2.83E-06,0.302,0.308,0.0778,-24.727,0.555,118.4,0.565
Aziz Mian,Qawwali,spotify:artist:0lyuCEP722XiHlj92fsxhU,spotify:track:3OTf2UOhzypXJ8TFzuFDKv,https://p.scdn.co/mp3-preview/fd366478109444664e7d684ae104bc78340118c4?cid=6f8bb3e64c2944d586037b9907043601,"Nabi Nabi Ya Nabi Nabi, Pt. 1",0.551,9.47E-05,0.488,0.524,0.255,-12.989,0.592,108.248,0.833
Aziz Mian,Qawwali,spotify:artist:0lyuCEP722XiHlj92fsxhU,spotify:track:760aj6eKUUjKcnzt8nhB81,https://p.scdn.co/mp3-preview/3f66fe023451921849f97ddb0de7dabdc8cc3bdf?cid=6f8bb3e64c2944d586037b9907043601,Teri Soorat ( Main Sharabi Sharabi ),0.791,0,0.49,0.523,0.802,-12.664,0.622,116.132,0.767
Aziz Mian,Qawwali,spotify:artist:0lyuCEP722XiHlj92fsxhU,spotify:track:00rVekE3sG3lNZVhsjCHhs,https://p.scdn.co/mp3-preview/0ca29c4f92b0489e9f3d43378b908cf9fed04b55?cid=6f8bb3e64c2944d586037b9907043601,Ya Mohammad Noore,0.233,0,0.72,0.19,0.343,-6.045,0.476,141.952,0.73
Aziz Mian,Qawwali,spotify:artist:0lyuCEP722XiHlj92fsxhU,spotify:track:34dZ5aqESxsXrMFItk62UY,https://p.scdn.co/mp3-preview/1521d05f9bd4a126ead0cb9fe6a65c0a5aced78a?cid=6f8bb3e64c2944d586037b9907043601,Allah Hi Jane Kaun,0.94,2.80E-06,0.306,0.513,0.285,-11.432,0.586,99.958,0.801
Aziz Mian,Qawwali,spotify:artist:0lyuCEP722XiHlj92fsxhU,spotify:track:3wBEQoFVrL653ykfuCmGHq,https://p.scdn.co/mp3-preview/f14e2d047b1626ce59d93619ec46cedb48fdea31?cid=6f8bb3e64c2944d586037b9907043601,Rang,0.774,1.08E-05,0.543,0.0771,0.797,-15.744,0.511,109.954,0.84
Aziz Mian,Qawwali,spotify:artist:0lyuCEP722XiHlj92fsxhU,spotify:track:0majH6rThjnxL7Y1IslIVe,https://p.scdn.co/mp3-preview/5c8a4d8aa8f093598151274d281d70c4dfdbf9c9?cid=6f8bb3e64c2944d586037b9907043601,Humen To Loot Liya Milke,0.652,0,0.763,0.51,0.665,-7.121,0.487,112.736,0.599
Aziz Mian,Qawwali,spotify:artist:0lyuCEP722XiHlj92fsxhU,spotify:track:3IEpNMZRSrcpzIAxT93HWU,https://p.scdn.co/mp3-preview/f26b4a46eb21be92c919b5d54629a30b8f662940?cid=6f8bb3e64c2944d586037b9907043601,Baksh Deta To Baat,0.788,0,0.682,0.487,0.482,-7.481,0.494,135.619,0.639
Abida Parveen,Qawwali,spotify:artist:4sAweKU7CjDZ1bUEb6VF6a,spotify:track:2xRtXbFAmk3cW6xE1zF7ye,https://p.scdn.co/mp3-preview/c8f1794e34d8657e1b6bc5d419ae2ab5da026ab7?cid=6f8bb3e64c2944d586037b9907043601,Tu Jhoom,0.255,0.000414,0.481,0.0395,0.0909,-8.949,0.42,84.794,0.0594
