Singers,Genre,Artist,TrackURI,Preview,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
Etta James,Blues,spotify:artist:0iOVhN3tnSvgDbcg25JoJb,spotify:track:0rXZu998CXslEpwhxdHzeu,https://p.scdn.co/mp3-preview/3ebd462b57289dc013768bc79734d27baaec4866?cid=6f8bb3e64c2944d586037b9907043601,The Man I Love,0.886,5.83E-06,0.214,0.0539,0.0933,-13.655,0.432,204.426,0.274
Usher,Blues,spotify:artist:23zg3TcAtWQy7J6upgbUnj,6gRGMnzrsAY5Fl2byZf2jd,https://p.scdn.co/mp3-preview/b44d814edcde1e16c765fddc3aa97f6e3d59e65d?cid=b82fb22d072d4120850c99225ff01644,Can U Handle It?,0.425,1.10E-06,0.319,0.0464,0.127,-8.773,0.754,129.858,0.382
Toni Braxton,Blues,spotify:artist:3X458ddYA2YcVWuVIGGOYe,1wyNvV8uXr35T8ChEypf8n,https://p.scdn.co/mp3-preview/96fd11cf06272ee28b909a3682b9bb1e9a405056?cid=b82fb22d072d4120850c99225ff01644,Un-Break My Heart,0.442,0,0.41,0.0317,0.113,-9.215,0.61,109.962,0.116
Tevin Campbell,Blues,spotify:artist:5VfqJBmXcf6ZqXoGij5qTE,3xWWs8xnzh3sg7F6KlhfSC,https://p.scdn.co/mp3-preview/3beaf373969c48c8e0d847aafa5dc79077dfe96c?cid=b82fb22d072d4120850c99225ff01644,Shhh,0.171,0,0.59,0.0373,0.0391,-9.194,0.547,126.11,0.442
Destiny's Child,Blues,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,4FTOpNYcGxnQdGNWSxIcio,https://p.scdn.co/mp3-preview/dd12122fbfe9cebcffc7e4f30de061508d3b5ca4?cid=b82fb22d072d4120850c99225ff01644,Soldier,0.0444,0,0.417,0.361,0.0833,-6.799,0.878,77.49,0.904
Ciara,Blues,spotify:artist:2NdeV5rLm47xAvogXrYhJX,7uKcScNXuO3MWw6LowBjW1,https://p.scdn.co/mp3-preview/ebc79c6e835bd18a744307d51c942a749e3ad2ca?cid=b82fb22d072d4120850c99225ff01644,"One, Two Step (feat. Missy Elliott)",0.042,0.00107,0.511,0.161,0.0379,-10.96,0.944,113.046,0.842
Usher,Blues,spotify:artist:23zg3TcAtWQy7J6upgbUnj,5j0McHPthKpOXRr3fBq8M0,https://p.scdn.co/mp3-preview/69611cd7895a738d0516704d3ff67bf2889a4354?cid=b82fb22d072d4120850c99225ff01644,Love in This Club (feat. Young Jeezy),0.0572,0,0.712,0.0732,0.167,-5.976,0.573,140.012,0.346
Michael Jackson,Blues,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,46eu3SBuFCXWsPT39Yg3tJ,https://p.scdn.co/mp3-preview/bcbf2c53e033e4df303f4a9c90c4eada0a70216f?cid=b82fb22d072d4120850c99225ff01644,Don't Stop 'Til You Get Enough - Single Version,0.126,0.0461,0.821,0.089,0.183,-9.875,0.878,118.881,0.947
H.E.R.,Blues,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,50lP2u9FBdxwP2mHdaQ3DR,https://p.scdn.co/mp3-preview/1a7aefd31676786880fb0d1a614630fdf0789391?cid=b82fb22d072d4120850c99225ff01644,Gone Away,0.669,0,0.335,0.141,0.0958,-12.717,0.39,77.975,0.295
Tink,Blues,spotify:artist:4v6XOdonnfpdTKTRJArG7v,1Ktsil4bC4hYRWlqMG4qK3,https://p.scdn.co/mp3-preview/ba2ec6a11f683db86eac8213d22e40109c0d427c?cid=b82fb22d072d4120850c99225ff01644,Million,0.0923,0.00146,0.628,0.0689,0.227,-5.765,0.781,122.024,0.362
