Singers,Genre
Richard Wagner,Classical
Rihanna,Blues
Rita Ora,Pop
RJD2,Hip-Hop
Ro James,Blues
Rob Halford,Metal
Robert Johnson,Blues
Robert Schumann,Classical
Robin Schulz,EDM
Robin Thicke,Pop
Robyn,Pop
Roddy Ricch,Rap
Ronnie James Dio,Metal
Rudimental,Pop
Ruff Endz,Blues
Sabri Brothers,Qawwali
Sabrina Carpenter,Pop
Sabrina Claudio,Pop
SAINt JHN,Rap
Saint Motel,Rock
Salaam Remi,Hip-Hop
Sam Feldt,EDM
Sam Fischer,Pop
Samuel Barber,Classical
Sasha Sloan,Pop
Saweetie,Pop
Saxon,Rock
ScHoolboy Q,Rap
Scorpions,Rock
Screaming Trees,Rock
Sean Kingston,Pop
Sean Paul,Pop
Seeb,Pop
Sepultura,Rock
Sergei Prokofiev,Classical
Sergei Rachmaninoff,Classical
Sevyn Streeter,Blues
Shanice,Blues
Sheck Wes,Rap
Shelley FKA DRAM,Rap
Sia,Pop
Sick Individuals,EDM
Sigala,EDM
Sigma,Pop
Silk,Blues
Simon & Garfunkel,Rock
Sinead Harnett,Blues
SiR,Hip-Hop
Skepta,Rap
Skid Row,Rock
Snoop Dogg,Hip-Hop
Sofi Tukker,Pop
Solange,Blues
Somethin' For The People,Blues
Soul Asylum,Rock
Steff da Campo,EDM
Steve Lacy,Rap
Steve Reich,Classical
Stevie Nicks,Rock
Stevie Ray Vaughan,Rock
Stone Sour,Rock
Stone Temple Pilots,Rock
Styles P,Hip-Hop
Suicidal Tendencies,Rock
Sultan + Shepard,EDM
Summer Walker,Pop
SWV,Blues
Syn Cole,EDM
SZA,Pop
T.I.,Hip-Hop
Taio Cruz,EDM
Talat Aziz,Ghazal
Tamia,Blues
Tank,Blues
Tay-K,Rap
Ted Nugent,Rock
Tee Grizzley,Hip-Hop
Testament,Rock
Tevin Campbell,Blues
The Animals,Rock
The Byrds,Rock
The Cars,Rock
The Chainsmokers,EDM
The Clash,Rock
The Doobie Brothers,Rock
The Doors,Rock
The Game,Hip-Hop
The Guess Who,Rock
The Him,EDM
The Hollies,Rock
The Kid LAROI,Rap
The Kinks,Rock
The Knocks,Pop
The Lovin' Spoonful,Rock
The Magician,EDM
The Notorious B.I.G.,Hip-Hop
The Presidents Of The United States Of America,Rock
THE SCOTTS,Rap
The Sixteen,Classical
The Stone Roses,Rock
The Tony Rich Project,Blues
The Vamps,Pop
The Yardbirds,Rock
The Zombies,Rock
The-Dream,Blues
Third Eye Blind,Rock
Timeflies,Pop
Tinashe,Blues
Tinie Tempah,Pop
Tink,Blues
TLC,Blues
Toad The Wet SpRocket,Rock
Tobtok,EDM
Tom Odell,Pop
Tom Petty and the Heartbreakers,Rock
Tomaso Albinoni,Classical
Tommy James & The Shondells,Rock
Toni Braxton,Blues
TOOL,Rock
Topic,EDM
Tory Lanez,Rap
Total,Blues
TOTO,Rock
Tove Lo,Pop
T-Pain,Blues
Travis Scott,Rap
Trey Songz,Blues
Trina,Blues
Troop,Blues
Tungevaag,EDM
Tweet,Blues
Twista,Blues
Twisted Sister,Rock
Ty Dolla $ign,Blues
Tyga,Hip-Hop
"Tyler, The Creator",Hip-Hop
Type O Negative,Rock
Tyrese,Blues
UMI,Pop
Usher,Blues
Valery Gergiev,Classical
Van Halen,Rock
Van Morrison,Rock
Vance Joy,Pop
Venom,Rock
Victoria Mon̩t,Blues
W.A.S.P.,Rock
Wale,Blues
WALK THE MOON,Rock
Warrant,Rock
Whitney Houston,Pop
Wiener Philharmoniker,Classical
Wifisfuneral,Rap
will.i.am,Pop
Win and Woo,EDM
Wiz Khalifa,Hip-Hop
Wolfgang Amadeus Mozart,Classical
Wu-Tang Clan,Hip-Hop
Xscape,Blues
YBN Nahmir,Rap
YG,Hip-Hop
Ying Yang Twins,Hip-Hop
YNW Melly,Rap
Yo Gotti,Hip-Hop
Young Dolph,Hip-Hop
Young M.A,Hip-Hop
Young Nudy,Rap
Young Thug,Rap
Youngbloodz,Rap
Yo-Yo Ma,Classical
Yung Joc,Rap
Zara Larsson,Pop
ZAYN,Pop
ZZ Top,Rock
